开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
fantomo	鬼魂，鬼
farbo	颜料，染料
fari	制造，做
faringo	咽喉，咽
farmacio	药房
farmisto	农人
farmo	农场
fazo de materio	物态，相，相态
febra	发烧的
febri	发高烧，发烧
febro	高烧
februaro	二月
fekaĵo	粪便，大便
fekaĵputo	粪坑，化粪池
feki	拉屎，大便
feko	粪便，大便
fekunda	肥沃
feliĉa	快乐，幸福
feliĉeco	幸福
feliĉo	幸福
femura arterio	股动脉
femuro	大腿
femurosto	大腿骨
fendaĵo	裂缝，裂口
fendi	分开，裂开
fendiĝi	分裂，迸裂
fenestro	窗口
fenestrokadro	窗框
fenikoptero	红鹤
feniksino	凰
fenikso	凤，凤凰
fenomeno	现象
fera	铁的，铁制的
ferdeko	甲板
ferdrato	铁线
ferio	假日
fermentinta toŭfuo	豆乳
fermi	关闭，闭，关
fermi la pordon	关门
fermio	镄
fero	铁
ferumi	钉蹄铁
fervojo	铁路
festeno	宴，宴会
festi	庆祝，过节
festo	节日，庆祝活动
feto	胎，胎儿
